Canton;Classes d'âge par étapes de 5 ans;Nationalité;Chômeurs inscrits
Appenzell Rhodes-Extérieures;20-24 ans;Total;39
Appenzell Rhodes-Extérieures;25-29 ans;Etrangers;19
Appenzell Rhodes-Extérieures;25-29 ans;Suisses;35
Appenzell Rhodes-Extérieures;25-29 ans;Total;54
Appenzell Rhodes-Extérieures;30-34 ans;Etrangers;29
Appenzell Rhodes-Extérieures;30-34 ans;Suisses;28
Appenzell Rhodes-Extérieures;30-34 ans;Total;57
Appenzell Rhodes-Extérieures;35-39 ans;Etrangers;29
Appenzell Rhodes-Extérieures;35-39 ans;Suisses;22
Appenzell Rhodes-Extérieures;35-39 ans;Total;51
Appenzell Rhodes-Extérieures;40-44 ans;Etrangers;25
Appenzell Rhodes-Extérieures;40-44 ans;Suisses;30
Appenzell Rhodes-Extérieures;40-44 ans;Total;55
Appenzell Rhodes-Extérieures;45-49 ans;Etrangers;21
Appenzell Rhodes-Extérieures;45-49 ans;Suisses;35
Appenzell Rhodes-Extérieures;45-49 ans;Total;56
Appenzell Rhodes-Extérieures;50-54 ans;Etrangers;27
Appenzell Rhodes-Extérieures;50-54 ans;Suisses;62
Appenzell Rhodes-Extérieures;50-54 ans;Total;89
Appenzell Rhodes-Extérieures;55-59 ans;Etrangers;18
Appenzell Rhodes-Extérieures;55-59 ans;Suisses;57
Appenzell Rhodes-Extérieures;55-59 ans;Total;75
Appenzell Rhodes-Extérieures;60 ans et plus;Etrangers;21
Appenzell Rhodes-Extérieures;60 ans et plus;Suisses;35
Appenzell Rhodes-Extérieures;60 ans et plus;Total;56
Appenzell Rhodes-Extérieures;Total;;543
Appenzell Rhodes-Intérieures;15-19 ans;Suisses;1
Appenzell Rhodes-Intérieures;15-19 ans;Total;1
Appenzell Rhodes-Intérieures;20-24 ans;Etrangers;5
Appenzell Rhodes-Intérieures;20-24 ans;Suisses;8
Appenzell Rhodes-Intérieures;20-24 ans;Total;13
Appenzell Rhodes-Intérieures;25-29 ans;Etrangers;1
Appenzell Rhodes-Intérieures;25-29 ans;Suisses;3
Appenzell Rhodes-Intérieures;25-29 ans;Total;4
Appenzell Rhodes-Intérieures;30-34 ans;Etrangers;2
